"NAME","Age_Range","Total","year"
"Indiana","25.to.34.years",235261,2005
"Indiana","35.to.44.years",353998,2005
"Indiana","45.to.54.years",415385,2005
"Indiana","55.to.59.years",176293,2005
"Indiana","60.to.64.years",139986,2005
"Indiana","65.to.74.years",213970,2005
"Indiana","75.to.84.years",153930,2005
"Indiana","85.years.and.over",38983,2005
"Iowa","total",877796,2005
"Iowa","15.to.24.years",20728,2005
"Iowa","25.to.34.years",105793,2005
"Iowa","35.to.44.years",172786,2005
"Iowa","45.to.54.years",202096,2005
"Iowa","55.to.59.years",87971,2005
"Iowa","60.to.64.years",67628,2005
"Iowa","65.to.74.years",108160,2005
"Iowa","75.to.84.years",85411,2005
"Iowa","85.years.and.over",27223,2005
"Kansas","total",744580,2005
"Kansas","15.to.24.years",16327,2005
"Kansas","25.to.34.years",92440,2005
"Kansas","35.to.44.years",146706,2005
"Kansas","45.to.54.years",177682,2005
"Kansas","55.to.59.years",76438,2005
"Kansas","60.to.64.years",58490,2005
"Kansas","65.to.74.years",87398,2005
"Kansas","75.to.84.years",68970,2005
"Kansas","85.years.and.over",20129,2005
"Kentucky","total",1167973,2005
"Kentucky","15.to.24.years",18222,2005
"Kentucky","25.to.34.years",142370,2005
"Kentucky","35.to.44.years",236340,2005
"Kentucky","45.to.54.years",275320,2005
"Kentucky","55.to.59.years",127293,2005
"Kentucky","60.to.64.years",95174,2005
"Kentucky","65.to.74.years",151221,2005
"Kentucky","75.to.84.years",95906,2005
"Kentucky","85.years.and.over",26127,2005
"Louisiana","total",1136873,2005
"Louisiana","15.to.24.years",22307,2005
"Louisiana","25.to.34.years",138274,2005
"Louisiana","35.to.44.years",229922,2005
"Louisiana","45.to.54.years",266115,2005
"Louisiana","55.to.59.years",111307,2005
"Louisiana","60.to.64.years",96368,2005
"Louisiana","65.to.74.years",147663,2005
"Louisiana","75.to.84.years",99785,2005
"Louisiana","85.years.and.over",25132,2005
"Maine","total",389203,2005
"Maine","15.to.24.years",4148,2005
"Maine","25.to.34.years",34779,2005
"Maine","35.to.44.years",76717,2005
"Maine","45.to.54.years",102261,2005
"Maine","55.to.59.years",45656,2005
"Maine","60.to.64.years",33209,2005
"Maine","65.to.74.years",50256,2005
"Maine","75.to.84.years",32918,2005
"Maine","85.years.and.over",9259,2005
"Maryland","total",1438614,2005
"Maryland","15.to.24.years",14200,2005
"Maryland","25.to.34.years",160384,2005
"Maryland","35.to.44.years",320350,2005
"Maryland","45.to.54.years",363050,2005
"Maryland","55.to.59.years",158585,2005
"Maryland","60.to.64.years",121007,2005
"Maryland","65.to.74.years",161553,2005
"Maryland","75.to.84.years",110966,2005
"Maryland","85.years.and.over",28519,2005
"Massachusetts","total",1567885,2005
"Massachusetts","15.to.24.years",7963,2005
"Massachusetts","25.to.34.years",156411,2005
"Massachusetts","35.to.44.years",347830,2005
"Massachusetts","45.to.54.years",390927,2005
"Massachusetts","55.to.59.years",172513,2005
"Massachusetts","60.to.64.years",125869,2005
"Massachusetts","65.to.74.years",178708,2005
"Massachusetts","75.to.84.years",146152,2005
"Massachusetts","85.years.and.over",41512,2005
"Michigan","total",2903328,2005
"Michigan","15.to.24.years",48629,2005
"Michigan","25.to.34.years",353972,2005
"Michigan","35.to.44.years",606488,2005
"Michigan","45.to.54.years",700140,2005
"Michigan","55.to.59.years",297602,2005
"Michigan","60.to.64.years",237443,2005
"Michigan","65.to.74.years",329839,2005
"Michigan","75.to.84.years",257672,2005
"Michigan","85.years.and.over",71543,2005
"Minnesota","total",1530659,2005
"Minnesota","15.to.24.years",32042,2005
"Minnesota","25.to.34.years",215992,2005
"Minnesota","35.to.44.years",345552,2005
"Minnesota","45.to.54.years",375990,2005
"Minnesota","55.to.59.years",149580,2005
"Minnesota","60.to.64.years",112294,2005
"Minnesota","65.to.74.years",154925,2005
"Minnesota","75.to.84.years",112039,2005
"Minnesota","85.years.and.over",32245,2005
"Mississippi","total",757446,2005
"Mississippi","15.to.24.years",18824,2005
"Mississippi","25.to.34.years",85210,2005
"Mississippi","35.to.44.years",147701,2005
"Mississippi","45.to.54.years",174110,2005
"Mississippi","55.to.59.years",76489,2005
"Mississippi","60.to.64.years",63567,2005
"Mississippi","65.to.74.years",106501,2005
"Mississippi","75.to.84.years",66094,2005
"Mississippi","85.years.and.over",18950,2005
"Missouri","total",1614217,2005
"Missouri","15.to.24.years",30180,2005
"Missouri","25.to.34.years",202300,2005
"Missouri","35.to.44.years",322391,2005
"Missouri","45.to.54.years",368310,2005
"Missouri","55.to.59.years",166033,2005
"Missouri","60.to.64.years",135280,2005
"Missouri","65.to.74.years",206615,2005
"Missouri","75.to.84.years",143240,2005
"Missouri","85.years.and.over",39868,2005
"Montana","total",254458,2005
"Montana","15.to.24.years",4790,2005
"Montana","25.to.34.years",26973,2005
"Montana","35.to.44.years",42740,2005
"Montana","45.to.54.years",63992,2005
"Montana","55.to.59.years",28809,2005
"Montana","60.to.64.years",24530,2005
"Montana","65.to.74.years",34210,2005
"Montana","75.to.84.years",21680,2005
"Montana","85.years.and.over",6734,2005
"Nebraska","total",474682,2005
"Nebraska","15.to.24.years",7982,2005
"Nebraska","25.to.34.years",59643,2005
"Nebraska","35.to.44.years",93935,2005
"Nebraska","45.to.54.years",111665,2005
"Nebraska","55.to.59.years",45386,2005
"Nebraska","60.to.64.years",37763,2005
"Nebraska","65.to.74.years",59547,2005
"Nebraska","75.to.84.years",45726,2005
"Nebraska","85.years.and.over",13035,2005
"Nevada","total",550125,2005
"Nevada","15.to.24.years",9094,2005
"Nevada","25.to.34.years",74343,2005
"Nevada","35.to.44.years",120476,2005
"Nevada","45.to.54.years",117222,2005
"Nevada","55.to.59.years",55552,2005
"Nevada","60.to.64.years",46925,2005
"Nevada","65.to.74.years",75152,2005
"Nevada","75.to.84.years",41594,2005
"Nevada","85.years.and.over",9767,2005
"New Hampshire","total",362854,2005
"New Hampshire","15.to.24.years",2379,2005
"New Hampshire","25.to.34.years",35439,2005
"New Hampshire","35.to.44.years",83096,2005
"New Hampshire","45.to.54.years",97051,2005
"New Hampshire","55.to.59.years",41225,2005
"New Hampshire","60.to.64.years",29784,2005
"New Hampshire","65.to.74.years",40215,2005
"New Hampshire","75.to.84.years",26962,2005
"New Hampshire","85.years.and.over",6703,2005
"New Jersey","total",2114072,2005
"New Jersey","15.to.24.years",15742,2005
"New Jersey","25.to.34.years",199391,2005
"New Jersey","35.to.44.years",463614,2005
"New Jersey","45.to.54.years",523516,2005
"New Jersey","55.to.59.years",217862,2005
"New Jersey","60.to.64.years",185390,2005
"New Jersey","65.to.74.years",245508,2005
"New Jersey","75.to.84.years",205152,2005
"New Jersey","85.years.and.over",57897,2005
"New Mexico","total",504354,2005
"New Mexico","15.to.24.years",11386,2005
"New Mexico","25.to.34.years",54986,2005
"New Mexico","35.to.44.years",90381,2005
"New Mexico","45.to.54.years",118580,2005
"New Mexico","55.to.59.years",59147,2005
"New Mexico","60.to.64.years",43033,2005
"New Mexico","65.to.74.years",71365,2005
"New Mexico","75.to.84.years",43804,2005
"New Mexico","85.years.and.over",11672,2005
"New York","total",3936378,2005
"New York","15.to.24.years",28108,2005
"New York","25.to.34.years",366515,2005
"New York","35.to.44.years",818474,2005
"New York","45.to.54.years",958184,2005
"New York","55.to.59.years",435763,2005
"New York","60.to.64.years",348663,2005
"New York","65.to.74.years",487883,2005
"New York","75.to.84.years",380506,2005
"New York","85.years.and.over",112282,2005
"North Carolina","total",2325140,2005
"North Carolina","15.to.24.years",33472,2005
"North Carolina","25.to.34.years",297128,2005
"North Carolina","35.to.44.years",493641,2005
"North Carolina","45.to.54.years",520287,2005
"North Carolina","55.to.59.years",239850,2005
"North Carolina","60.to.64.years",194620,2005
"North Carolina","65.to.74.years",303098,2005
"North Carolina","75.to.84.years",194748,2005
"North Carolina","85.years.and.over",48296,2005
"North Dakota","total",182490,2005
"North Dakota","15.to.24.years",3211,2005
"North Dakota","25.to.34.years",21745,2005
"North Dakota","35.to.44.years",33397,2005
"North Dakota","45.to.54.years",45517,2005
"North Dakota","55.to.59.years",19177,2005
"North Dakota","60.to.64.years",13612,2005
"North Dakota","65.to.74.years",21632,2005
"North Dakota","75.to.84.years",18362,2005
"North Dakota","85.years.and.over",5837,2005
"Ohio","total",3152610,2005
"Ohio","15.to.24.years",46561,2005
"Ohio","25.to.34.years",375361,2005
"Ohio","35.to.44.years",627090,2005
"Ohio","45.to.54.years",750720,2005
"Ohio","55.to.59.years",330075,2005
"Ohio","60.to.64.years",258779,2005
"Ohio","65.to.74.years",385088,2005
"Ohio","75.to.84.years",295223,2005
"Ohio","85.years.and.over",83713,2005
"Oklahoma","total",937051,2005
"Oklahoma","15.to.24.years",21234,2005
"Oklahoma","25.to.34.years",110641,2005
"Oklahoma","35.to.44.years",167294,2005
"Oklahoma","45.to.54.years",215149,2005
"Oklahoma","55.to.59.years",100830,2005
"Oklahoma","60.to.64.years",78866,2005
"Oklahoma","65.to.74.years",131983,2005
"Oklahoma","75.to.84.years",89380,2005
"Oklahoma","85.years.and.over",21674,2005
"Oregon","total",909113,2005
"Oregon","15.to.24.years",11900,2005
"Oregon","25.to.34.years",102077,2005
"Oregon","35.to.44.years",170526,2005
"Oregon","45.to.54.years",217124,2005
"Oregon","55.to.59.years",107311,2005
"Oregon","60.to.64.years",78415,2005
"Oregon","65.to.74.years",116524,2005
"Oregon","75.to.84.years",79963,2005
"Oregon","85.years.and.over",25273,2005
"Pennsylvania","total",3474048,2005
"Pennsylvania","15.to.24.years",34760,2005
"Pennsylvania","25.to.34.years",348645,2005
"Pennsylvania","35.to.44.years",686713,2005
"Pennsylvania","45.to.54.years",844431,2005
"Pennsylvania","55.to.59.years",375932,2005
"Pennsylvania","60.to.64.years",283300,2005
"Pennsylvania","65.to.74.years",428694,2005
"Pennsylvania","75.to.84.years",370795,2005
"Pennsylvania","85.years.and.over",100778,2005
"Rhode Island","total",254639,2005
"Rhode Island","15.to.24.years",1765,2005
