"GEOID","NAME","year","med_incomeE","med_rentE","region_group","region_name","rent_to_income_ratio"
13,"Georgia",2013,47829,850,4,"Southeast",0.213
16,"Idaho",2013,46783,725,10,"Pacific Northwest",0.186
15,"Hawaii",2013,68020,1414,9,"Pacific Southwest",0.249
17,"Illinois",2013,56210,885,5,"Great Lakes",0.189
18,"Indiana",2013,47529,730,5,"Great Lakes",0.184
19,"Iowa",2013,52229,679,7,"Central Plains",0.156
20,"Kansas",2013,50972,745,7,"Central Plains",0.175
21,"Kentucky",2013,43399,668,4,"Southeast",0.185
22,"Louisiana",2013,44164,763,6,"South Central",0.207
23,"Maine",2013,46974,760,1,"New England",0.194
24,"Maryland",2013,72483,1210,3,"Mid-Atlantic",0.2
25,"Massachusetts",2013,66768,1077,1,"New England",0.194
26,"Michigan",2013,48273,768,5,"Great Lakes",0.191
27,"Minnesota",2013,60702,832,5,"Great Lakes",0.164
1,"Alabama",2014,42830,717,4,"Southeast",0.201
2,"Alaska",2014,71583,1183,10,"Pacific Northwest",0.198
4,"Arizona",2014,50068,916,9,"Pacific Southwest",0.22
5,"Arkansas",2014,41262,683,6,"South Central",0.199
6,"California",2014,61933,1268,9,"Pacific Southwest",0.246
8,"Colorado",2014,61303,1020,8,"Mountain North",0.2
10,"Delaware",2014,59716,1024,3,"Mid-Atlantic",0.206
11,"District of Columbia",2014,71648,1360,3,"Mid-Atlantic",0.228
9,"Connecticut",2014,70048,1076,1,"New England",0.184
12,"Florida",2014,47463,1003,4,"Southeast",0.254
13,"Georgia",2014,49321,882,4,"Southeast",0.215
16,"Idaho",2014,47861,755,10,"Pacific Northwest",0.189
15,"Hawaii",2014,69592,1448,9,"Pacific Southwest",0.25
17,"Illinois",2014,57444,905,5,"Great Lakes",0.189
18,"Indiana",2014,49446,753,5,"Great Lakes",0.183
19,"Iowa",2014,53712,711,7,"Central Plains",0.159
20,"Kansas",2014,52504,773,7,"Central Plains",0.177
21,"Kentucky",2014,42958,678,4,"Southeast",0.189
22,"Louisiana",2014,44555,801,6,"South Central",0.216
23,"Maine",2014,49462,776,1,"New England",0.188
24,"Maryland",2014,73971,1242,3,"Mid-Atlantic",0.201
25,"Massachusetts",2014,69160,1107,1,"New England",0.192
26,"Michigan",2014,49847,788,5,"Great Lakes",0.19
27,"Minnesota",2014,61481,859,5,"Great Lakes",0.168
28,"Mississippi",2014,39680,711,4,"Southeast",0.215
29,"Missouri",2014,48363,754,7,"Central Plains",0.187
30,"Montana",2014,46328,711,8,"Mountain North",0.184
31,"Nebraska",2014,52686,742,7,"Central Plains",0.169
32,"Nevada",2014,51450,955,9,"Pacific Southwest",0.223
33,"New Hampshire",2014,66532,994,1,"New England",0.179
34,"New Jersey",2014,71919,1202,2,"New York–New Jersey",0.201
35,"New Mexico",2014,44803,777,6,"South Central",0.208
36,"New York",2014,58878,1148,2,"New York–New Jersey",0.234
37,"North Carolina",2014,46556,803,4,"Southeast",0.207
38,"North Dakota",2014,59029,728,8,"Mountain North",0.148
39,"Ohio",2014,49308,735,5,"Great Lakes",0.179
40,"Oklahoma",2014,47529,737,6,"South Central",0.186
41,"Oregon",2014,51075,924,10,"Pacific Northwest",0.217
42,"Pennsylvania",2014,53234,848,3,"Mid-Atlantic",0.191
44,"Rhode Island",2014,54891,934,1,"New England",0.204
45,"South Carolina",2014,45238,791,4,"Southeast",0.21
46,"South Dakota",2014,50979,647,8,"Mountain North",0.152
47,"Tennessee",2014,44361,770,4,"Southeast",0.208
48,"Texas",2014,53035,896,6,"South Central",0.203
50,"Vermont",2014,54166,917,1,"New England",0.203
49,"Utah",2014,60922,886,8,"Mountain North",0.175
51,"Virginia",2014,64902,1116,3,"Mid-Atlantic",0.206
53,"Washington",2014,61366,1032,10,"Pacific Northwest",0.202
54,"West Virginia",2014,41059,656,3,"Mid-Atlantic",0.192
55,"Wisconsin",2014,52622,782,5,"Great Lakes",0.178
56,"Wyoming",2014,57055,792,8,"Mountain North",0.167
72,"Puerto Rico",2014,18928,467,11,"Puerto Rico",0.296
28,"Mississippi",2015,40593,724,4,"Southeast",0.214
29,"Missouri",2015,50238,763,7,"Central Plains",0.182
30,"Montana",2015,49509,763,8,"Mountain North",0.185
31,"Nebraska",2015,54996,750,7,"Central Plains",0.164
32,"Nevada",2015,52431,980,9,"Pacific Southwest",0.224
33,"New Hampshire",2015,70303,1017,1,"New England",0.174
34,"New Jersey",2015,72222,1214,2,"New York–New Jersey",0.202
35,"New Mexico",2015,45382,783,6,"South Central",0.207
36,"New York",2015,60850,1173,2,"New York–New Jersey",0.231
37,"North Carolina",2015,47830,827,4,"Southeast",0.207
38,"North Dakota",2015,60557,775,8,"Mountain North",0.154
39,"Ohio",2015,51075,746,5,"Great Lakes",0.175
40,"Oklahoma",2015,48568,759,6,"South Central",0.188
41,"Oregon",2015,54148,943,10,"Pacific Northwest",0.209
42,"Pennsylvania",2015,55702,868,3,"Mid-Atlantic",0.187
44,"Rhode Island",2015,58073,938,1,"New England",0.194
45,"South Carolina",2015,47238,819,4,"Southeast",0.208
46,"South Dakota",2015,53017,675,8,"Mountain North",0.153
47,"Tennessee",2015,47275,785,4,"Southeast",0.199
48,"Texas",2015,55653,932,6,"South Central",0.201
50,"Vermont",2015,56990,923,1,"New England",0.194
49,"Utah",2015,62912,925,8,"Mountain North",0.176
51,"Virginia",2015,66262,1144,3,"Mid-Atlantic",0.207
53,"Washington",2015,64129,1080,10,"Pacific Northwest",0.202
54,"West Virginia",2015,42019,675,3,"Mid-Atlantic",0.193
55,"Wisconsin",2015,55638,792,5,"Great Lakes",0.171
56,"Wyoming",2015,60214,815,8,"Mountain North",0.162
72,"Puerto Rico",2015,18626,433,11,"Puerto Rico",0.279
1,"Alabama",2015,44765,729,4,"Southeast",0.195
2,"Alaska",2015,73355,1163,10,"Pacific Northwest",0.19
4,"Arizona",2015,51492,933,9,"Pacific Southwest",0.217
5,"Arkansas",2015,41995,695,6,"South Central",0.199
6,"California",2015,64500,1311,9,"Pacific Southwest",0.244
8,"Colorado",2015,63909,1111,8,"Mountain North",0.209
10,"Delaware",2015,61255,1049,3,"Mid-Atlantic",0.206
11,"District of Columbia",2015,75628,1417,3,"Mid-Atlantic",0.225
9,"Connecticut",2015,71346,1108,1,"New England",0.186
12,"Florida",2015,49426,1046,4,"Southeast",0.254
13,"Georgia",2015,51244,909,4,"Southeast",0.213
16,"Idaho",2015,48275,770,10,"Pacific Northwest",0.191
15,"Hawaii",2015,73486,1500,9,"Pacific Southwest",0.245
17,"Illinois",2015,59588,936,5,"Great Lakes",0.188
18,"Indiana",2015,50532,758,5,"Great Lakes",0.18
19,"Iowa",2015,54736,718,7,"Central Plains",0.157
20,"Kansas",2015,53906,782,7,"Central Plains",0.174
21,"Kentucky",2015,45215,702,4,"Southeast",0.186
22,"Louisiana",2015,45727,800,6,"South Central",0.21
23,"Maine",2015,51494,792,1,"New England",0.185
24,"Maryland",2015,75847,1278,3,"Mid-Atlantic",0.202
25,"Massachusetts",2015,70628,1164,1,"New England",0.198
26,"Michigan",2015,51084,803,5,"Great Lakes",0.189
27,"Minnesota",2015,63488,888,5,"Great Lakes",0.168
28,"Mississippi",2016,41754,728,4,"Southeast",0.209
29,"Missouri",2016,51746,771,7,"Central Plains",0.179
30,"Montana",2016,50027,741,8,"Mountain North",0.178
31,"Nebraska",2016,56927,769,7,"Central Plains",0.162
32,"Nevada",2016,55180,1003,9,"Pacific Southwest",0.218
33,"New Hampshire",2016,70936,1026,1,"New England",0.174
34,"New Jersey",2016,76126,1244,2,"New York–New Jersey",0.196
35,"New Mexico",2016,46748,804,6,"South Central",0.206
36,"New York",2016,62909,1194,2,"New York–New Jersey",0.228
37,"North Carolina",2016,50584,839,4,"Southeast",0.199
38,"North Dakota",2016,60656,776,8,"Mountain North",0.154
39,"Ohio",2016,52334,759,5,"Great Lakes",0.174
40,"Oklahoma",2016,49176,744,6,"South Central",0.182
41,"Oregon",2016,57532,1015,10,"Pacific Northwest",0.212
42,"Pennsylvania",2016,56907,881,3,"Mid-Atlantic",0.186
44,"Rhode Island",2016,60596,948,1,"New England",0.188
45,"South Carolina",2016,49501,841,4,"Southeast",0.204
46,"South Dakota",2016,54467,706,8,"Mountain North",0.156
47,"Tennessee",2016,48547,806,4,"Southeast",0.199
48,"Texas",2016,56565,956,6,"South Central",0.203
50,"Vermont",2016,57677,925,1,"New England",0.192
49,"Utah",2016,65977,954,8,"Mountain North",0.174
51,"Virginia",2016,68114,1159,3,"Mid-Atlantic",0.204
53,"Washington",2016,67106,1135,10,"Pacific Northwest",0.203
54,"West Virginia",2016,43385,682,3,"Mid-Atlantic",0.189
55,"Wisconsin",2016,56811,802,5,"Great Lakes",0.169
56,"Wyoming",2016,59882,840,8,"Mountain North",0.168
72,"Puerto Rico",2016,20078,463,11,"Puerto Rico",0.277
1,"Alabama",2016,46257,743,4,"Southeast",0.193
2,"Alaska",2016,76440,1208,10,"Pacific Northwest",0.19
4,"Arizona",2016,53558,976,9,"Pacific Southwest",0.219
5,"Arkansas",2016,44334,701,6,"South Central",0.19
6,"California",2016,67739,1375,9,"Pacific Southwest",0.244
8,"Colorado",2016,65685,1171,8,"Mountain North",0.214
10,"Delaware",2016,61757,1048,3,"Mid-Atlantic",0.204
11,"District of Columbia",2016,75506,1376,3,"Mid-Atlantic",0.219
9,"Connecticut",2016,73433,1115,1,"New England",0.182
12,"Florida",2016,50860,1086,4,"Southeast",0.256
13,"Georgia",2016,53559,933,4,"Southeast",0.209
16,"Idaho",2016,51807,790,10,"Pacific Northwest",0.183
15,"Hawaii",2016,74511,1483,9,"Pacific Southwest",0.239
17,"Illinois",2016,60960,950,5,"Great Lakes",0.187
18,"Indiana",2016,52314,768,5,"Great Lakes",0.176
19,"Iowa",2016,56247,741,7,"Central Plains",0.158
20,"Kansas",2016,54935,789,7,"Central Plains",0.172
21,"Kentucky",2016,46659,707,4,"Southeast",0.182
22,"Louisiana",2016,45146,808,6,"South Central",0.215
23,"Maine",2016,53079,797,1,"New England",0.18
24,"Maryland",2016,78945,1314,3,"Mid-Atlantic",0.2
25,"Massachusetts",2016,75297,1179,1,"New England",0.188
26,"Michigan",2016,52492,818,5,"Great Lakes",0.187
27,"Minnesota",2016,65599,912,5,"Great Lakes",0.167
28,"Mississippi",2017,43529,742,4,"Southeast",0.205
29,"Missouri",2017,53578,800,7,"Central Plains",0.179
30,"Montana",2017,53386,759,8,"Mountain North",0.171
31,"Nebraska",2017,59970,801,7,"Central Plains",0.16
32,"Nevada",2017,58003,1051,9,"Pacific Southwest",0.217
33,"New Hampshire",2017,73381,1072,1,"New England",0.175
34,"New Jersey",2017,80088,1284,2,"New York–New Jersey",0.192
35,"New Mexico",2017,46744,813,6,"South Central",0.209
36,"New York",2017,64894,1226,2,"New York–New Jersey",0.227
37,"North Carolina",2017,52752,861,4,"Southeast",0.196
38,"North Dakota",2017,61843,785,8,"Mountain North",0.152
39,"Ohio",2017,54021,772,5,"Great Lakes",0.171
40,"Oklahoma",2017,50051,780,6,"South Central",0.187
41,"Oregon",2017,60212,1079,10,"Pacific Northwest",0.215
42,"Pennsylvania",2017,59195,893,3,"Mid-Atlantic",0.181
44,"Rhode Island",2017,63870,941,1,"New England",0.177
45,"South Carolina",2017,50570,848,4,"Southeast",0.201
46,"South Dakota",2017,56521,722,8,"Mountain North",0.153
47,"Tennessee",2017,51340,833,4,"Southeast",0.195
48,"Texas",2017,59206,987,6,"South Central",0.2
50,"Vermont",2017,57513,950,1,"New England",0.198
49,"Utah",2017,68358,986,8,"Mountain North",0.173
51,"Virginia",2017,71535,1179,3,"Mid-Atlantic",0.198
53,"Washington",2017,70979,1216,10,"Pacific Northwest",0.206
54,"West Virginia",2017,43469,690,3,"Mid-Atlantic",0.19
55,"Wisconsin",2017,59305,819,5,"Great Lakes",0.166
56,"Wyoming",2017,60434,832,8,"Mountain North",0.165
72,"Puerto Rico",2017,19343,453,11,"Puerto Rico",0.281
1,"Alabama",2017,48123,750,4,"Southeast",0.187
2,"Alaska",2017,73181,1201,10,"Pacific Northwest",0.197
4,"Arizona",2017,56581,1020,9,"Pacific Southwest",0.216
5,"Arkansas",2017,45869,711,6,"South Central",0.186
6,"California",2017,71805,1447,9,"Pacific Southwest",0.242
8,"Colorado",2017,69117,1240,8,"Mountain North",0.215
10,"Delaware",2017,62852,1086,3,"Mid-Atlantic",0.207
11,"District of Columbia",2017,82372,1499,3,"Mid-Atlantic",0.218
9,"Connecticut",2017,74168,1125,1,"New England",0.182
12,"Florida",2017,52594,1128,4,"Southeast",0.257
13,"Georgia",2017,56183,958,4,"Southeast",0.205
16,"Idaho",2017,52225,822,10,"Pacific Northwest",0.189
15,"Hawaii",2017,77765,1573,9,"Pacific Southwest",0.243
17,"Illinois",2017,62992,974,5,"Great Lakes",0.186
18,"Indiana",2017,54181,793,5,"Great Lakes",0.176
19,"Iowa",2017,58570,760,7,"Central Plains",0.156
20,"Kansas",2017,56422,815,7,"Central Plains",0.173
21,"Kentucky",2017,48375,724,4,"Southeast",0.18
22,"Louisiana",2017,46145,836,6,"South Central",0.217
23,"Maine",2017,56277,806,1,"New England",0.172
24,"Maryland",2017,80776,1337,3,"Mid-Atlantic",0.199
25,"Massachusetts",2017,77385,1208,1,"New England",0.187
26,"Michigan",2017,54909,835,5,"Great Lakes",0.182
27,"Minnesota",2017,68388,939,5,"Great Lakes",0.165
1,"Alabama",2018,49861,788,4,"Southeast",0.19
2,"Alaska",2018,74346,1177,10,"Pacific Northwest",0.19
4,"Arizona",2018,59246,1036,9,"Pacific Southwest",0.21
5,"Arkansas",2018,47062,731,6,"South Central",0.186
6,"California",2018,75277,1520,9,"Pacific Southwest",0.242
8,"Colorado",2018,71953,1289,8,"Mountain North",0.215
10,"Delaware",2018,64805,1108,3,"Mid-Atlantic",0.205
11,"District of Columbia",2018,85203,1516,3,"Mid-Atlantic",0.214
9,"Connecticut",2018,76348,1171,1,"New England",0.184
12,"Florida",2018,55462,1182,4,"Southeast",0.256
13,"Georgia",2018,58756,1008,4,"Southeast",0.206
16,"Idaho",2018,55583,848,10,"Pacific Northwest",0.183
15,"Hawaii",2018,80212,1613,9,"Pacific Southwest",0.241
17,"Illinois",2018,65030,995,5,"Great Lakes",0.184
18,"Indiana",2018,55746,820,5,"Great Lakes",0.177
19,"Iowa",2018,59955,777,7,"Central Plains",0.156
20,"Kansas",2018,58218,840,7,"Central Plains",0.173
21,"Kentucky",2018,50247,779,4,"Southeast",0.186
22,"Louisiana",2018,47905,854,6,"South Central",0.214
23,"Maine",2018,55602,839,1,"New England",0.181
24,"Maryland",2018,83242,1371,3,"Mid-Atlantic",0.198
25,"Massachusetts",2018,79835,1295,1,"New England",0.195
26,"Michigan",2018,56697,861,5,"Great Lakes",0.182
27,"Minnesota",2018,70315,969,5,"Great Lakes",0.165
55,"Wisconsin",2018,60773,847,5,"Great Lakes",0.167
56,"Wyoming",2018,61584,818,8,"Mountain North",0.159
72,"Puerto Rico",2018,20296,484,11,"Puerto Rico",0.286
28,"Mississippi",2018,44717,777,4,"Southeast",0.209
29,"Missouri",2018,54478,830,7,"Central Plains",0.183
30,"Montana",2018,55328,811,8,"Mountain North",0.176
31,"Nebraska",2018,59566,830,7,"Central Plains",0.167
32,"Nevada",2018,58646,1108,9,"Pacific Southwest",0.227
33,"New Hampshire",2018,74991,1090,1,"New England",0.174
34,"New Jersey",2018,81740,1336,2,"New York–New Jersey",0.196
35,"New Mexico",2018,47169,830,6,"South Central",0.211
36,"New York",2018,67844,1274,2,"New York–New Jersey",0.225
37,"North Carolina",2018,53855,900,4,"Southeast",0.201
38,"North Dakota",2018,63837,808,8,"Mountain North",0.152
39,"Ohio",2018,56111,797,5,"Great Lakes",0.17
40,"Oklahoma",2018,51924,808,6,"South Central",0.187
41,"Oregon",2018,63426,1130,10,"Pacific Northwest",0.214
42,"Pennsylvania",2018,60905,927,3,"Mid-Atlantic",0.183
44,"Rhode Island",2018,64340,998,1,"New England",0.186
45,"South Carolina",2018,52306,892,4,"Southeast",0.205
46,"South Dakota",2018,56274,734,8,"Mountain North",0.157
47,"Tennessee",2018,52375,861,4,"Southeast",0.197
48,"Texas",2018,60629,1046,6,"South Central",0.207
50,"Vermont",2018,60782,969,1,"New England",0.191
49,"Utah",2018,71414,1043,8,"Mountain North",0.175
51,"Virginia",2018,72577,1215,3,"Mid-Atlantic",0.201
53,"Washington",2018,74073,1316,10,"Pacific Northwest",0.213
54,"West Virginia",2018,44097,735,3,"Mid-Atlantic",0.2
17,"Illinois",2019,69187,1020,5,"Great Lakes",0.177
13,"Georgia",2019,61980,1049,4,"Southeast",0.203
16,"Idaho",2019,60999,880,10,"Pacific Northwest",0.173
15,"Hawaii",2019,83102,1651,9,"Pacific Southwest",0.238
18,"Indiana",2019,57603,840,5,"Great Lakes",0.175
19,"Iowa",2019,61691,808,7,"Central Plains",0.157
20,"Kansas",2019,62087,862,7,"Central Plains",0.167
21,"Kentucky",2019,52295,773,4,"Southeast",0.177
22,"Louisiana",2019,51073,866,6,"South Central",0.203
23,"Maine",2019,58924,870,1,"New England",0.177
24,"Maryland",2019,86738,1401,3,"Mid-Atlantic",0.194
25,"Massachusetts",2019,85843,1360,1,"New England",0.19
26,"Michigan",2019,59584,888,5,"Great Lakes",0.179
27,"Minnesota",2019,74593,1016,5,"Great Lakes",0.163
9,"Connecticut",2019,78833,1177,1,"New England",0.179
12,"Florida",2019,59227,1238,4,"Southeast",0.251
1,"Alabama",2019,51734,807,4,"Southeast",0.187
2,"Alaska",2019,75463,1201,10,"Pacific Northwest",0.191
4,"Arizona",2019,62055,1101,9,"Pacific Southwest",0.213
5,"Arkansas",2019,48952,742,6,"South Central",0.182
6,"California",2019,80440,1614,9,"Pacific Southwest",0.241
8,"Colorado",2019,77127,1369,8,"Mountain North",0.213
10,"Delaware",2019,70176,1116,3,"Mid-Atlantic",0.191
11,"District of Columbia",2019,92266,1603,3,"Mid-Atlantic",0.208
28,"Mississippi",2019,45792,777,4,"Southeast",0.204
29,"Missouri",2019,57409,834,7,"Central Plains",0.174
30,"Montana",2019,57153,831,8,"Mountain North",0.174
31,"Nebraska",2019,63229,859,7,"Central Plains",0.163
32,"Nevada",2019,63276,1168,9,"Pacific Southwest",0.222
33,"New Hampshire",2019,77933,1147,1,"New England",0.177
34,"New Jersey",2019,85751,1376,2,"New York–New Jersey",0.193
35,"New Mexico",2019,51945,847,6,"South Central",0.196
36,"New York",2019,72108,1309,2,"New York–New Jersey",0.218
37,"North Carolina",2019,57341,931,4,"Southeast",0.195
38,"North Dakota",2019,64577,804,8,"Mountain North",0.149
39,"Ohio",2019,58642,813,5,"Great Lakes",0.166
40,"Oklahoma",2019,54449,814,6,"South Central",0.179
41,"Oregon",2019,67058,1185,10,"Pacific Northwest",0.212
42,"Pennsylvania",2019,63463,951,3,"Mid-Atlantic",0.18
44,"Rhode Island",2019,71169,1043,1,"New England",0.176
45,"South Carolina",2019,56227,922,4,"Southeast",0.197
46,"South Dakota",2019,59533,769,8,"Mountain North",0.155
47,"Tennessee",2019,56071,904,4,"Southeast",0.193
48,"Texas",2019,64034,1091,6,"South Central",0.204
50,"Vermont",2019,63001,980,1,"New England",0.187
49,"Utah",2019,75780,1098,8,"Mountain North",0.174
51,"Virginia",2019,76456,1254,3,"Mid-Atlantic",0.197
53,"Washington",2019,78687,1359,10,"Pacific Northwest",0.207
54,"West Virginia",2019,48850,727,3,"Mid-Atlantic",0.179
55,"Wisconsin",2019,64168,867,5,"Great Lakes",0.162
56,"Wyoming",2019,65003,822,8,"Mountain North",0.152
72,"Puerto Rico",2019,20474,482,11,"Puerto Rico",0.283
1,"Alabama",2021,53913,861,4,"Southeast",0.192
72,"Puerto Rico",2021,22237,504,11,"Puerto Rico",0.272
4,"Arizona",2021,69056,1253,9,"Pacific Southwest",0.218
5,"Arkansas",2021,52528,820,6,"South Central",0.187
6,"California",2021,84907,1750,9,"Pacific Southwest",0.247
8,"Colorado",2021,82254,1491,8,"Mountain North",0.218
9,"Connecticut",2021,83771,1277,1,"New England",0.183
10,"Delaware",2021,71091,1208,3,"Mid-Atlantic",0.204
11,"District of Columbia",2021,90088,1668,3,"Mid-Atlantic",0.222
12,"Florida",2021,63062,1348,4,"Southeast",0.257
13,"Georgia",2021,66559,1153,4,"Southeast",0.208
15,"Hawaii",2021,84857,1774,9,"Pacific Southwest",0.251
16,"Idaho",2021,66474,1035,10,"Pacific Northwest",0.187
17,"Illinois",2021,72205,1106,5,"Great Lakes",0.184
18,"Indiana",2021,62743,905,5,"Great Lakes",0.173
19,"Iowa",2021,65600,847,7,"Central Plains",0.155
20,"Kansas",2021,64124,904,7,"Central Plains",0.169
21,"Kentucky",2021,55573,830,4,"Southeast",0.179
22,"Louisiana",2021,52087,924,6,"South Central",0.213
23,"Maine",2021,64767,945,1,"New England",0.175
24,"Maryland",2021,90203,1473,3,"Mid-Atlantic",0.196
25,"Massachusetts",2021,89645,1487,1,"New England",0.199
26,"Michigan",2021,63498,969,5,"Great Lakes",0.183
27,"Minnesota",2021,77720,1113,5,"Great Lakes",0.172
28,"Mississippi",2021,48716,831,4,"Southeast",0.205
29,"Missouri",2021,61847,882,7,"Central Plains",0.171
30,"Montana",2021,63249,883,8,"Mountain North",0.168
31,"Nebraska",2021,66817,912,7,"Central Plains",0.164
32,"Nevada",2021,66274,1311,9,"Pacific Southwest",0.237
33,"New Hampshire",2021,88465,1263,1,"New England",0.171
34,"New Jersey",2021,89296,1457,2,"New York–New Jersey",0.196
35,"New Mexico",2021,53992,906,6,"South Central",0.201
36,"New York",2021,74314,1409,2,"New York–New Jersey",0.228
37,"North Carolina",2021,61972,1026,4,"Southeast",0.199
38,"North Dakota",2021,66519,839,8,"Mountain North",0.151
39,"Ohio",2021,62262,870,5,"Great Lakes",0.168
40,"Oklahoma",2021,55826,855,6,"South Central",0.184
41,"Oregon",2021,71562,1282,10,"Pacific Northwest",0.215
42,"Pennsylvania",2021,68957,1036,3,"Mid-Atlantic",0.18
44,"Rhode Island",2021,74008,1142,1,"New England",0.185
45,"South Carolina",2021,59318,976,4,"Southeast",0.197
46,"South Dakota",2021,66143,830,8,"Mountain North",0.151
47,"Tennessee",2021,59695,981,4,"Southeast",0.197
48,"Texas",2021,66963,1167,6,"South Central",0.209
49,"Utah",2021,79449,1208,8,"Mountain North",0.182
50,"Vermont",2021,72431,1115,1,"New England",0.185
51,"Virginia",2021,80963,1331,3,"Mid-Atlantic",0.197
53,"Washington",2021,84247,1484,10,"Pacific Northwest",0.211
54,"West Virginia",2021,51248,767,3,"Mid-Atlantic",0.18
55,"Wisconsin",2021,67125,921,5,"Great Lakes",0.165
56,"Wyoming",2021,65204,889,8,"Mountain North",0.164
2,"Alaska",2021,77845,1259,10,"Pacific Northwest",0.194
1,"Alabama",2022,59674,913,4,"Southeast",0.184
2,"Alaska",2022,88121,1329,10,"Pacific Northwest",0.181
4,"Arizona",2022,74568,1450,9,"Pacific Southwest",0.233
5,"Arkansas",2022,55432,846,6,"South Central",0.183
6,"California",2022,91551,1870,9,"Pacific Southwest",0.245
8,"Colorado",2022,89302,1646,8,"Mountain North",0.221
9,"Connecticut",2022,88429,1360,1,"New England",0.185
10,"Delaware",2022,82174,1274,3,"Mid-Atlantic",0.186
11,"District of Columbia",2022,101027,1843,3,"Mid-Atlantic",0.219
12,"Florida",2022,69303,1525,4,"Southeast",0.264
13,"Georgia",2022,72837,1269,4,"Southeast",0.209
15,"Hawaii",2022,92458,1813,9,"Pacific Southwest",0.235
16,"Idaho",2022,72785,1138,10,"Pacific Northwest",0.188
17,"Illinois",2022,76708,1170,5,"Great Lakes",0.183
18,"Indiana",2022,66785,972,5,"Great Lakes",0.175
19,"Iowa",2022,69588,891,7,"Central Plains",0.154
20,"Kansas",2022,68925,975,7,"Central Plains",0.17
21,"Kentucky",2022,59341,891,4,"Southeast",0.18
22,"Louisiana",2022,55416,984,6,"South Central",0.213
23,"Maine",2022,69543,1033,1,"New England",0.178
24,"Maryland",2022,94991,1550,3,"Mid-Atlantic",0.196
25,"Massachusetts",2022,94488,1634,1,"New England",0.208
26,"Michigan",2022,66986,1052,5,"Great Lakes",0.188
27,"Minnesota",2022,82338,1200,5,"Great Lakes",0.175
28,"Mississippi",2022,52719,873,4,"Southeast",0.199
29,"Missouri",2022,64811,954,7,"Central Plains",0.177
30,"Montana",2022,67631,1005,8,"Mountain North",0.178
31,"Nebraska",2022,69597,983,7,"Central Plains",0.169
32,"Nevada",2022,72333,1461,9,"Pacific Southwest",0.242
33,"New Hampshire",2022,89992,1396,1,"New England",0.186
34,"New Jersey",2022,96346,1555,2,"New York–New Jersey",0.194
35,"New Mexico",2022,59726,955,6,"South Central",0.192
36,"New York",2022,79557,1499,2,"New York–New Jersey",0.226
37,"North Carolina",2022,67481,1131,4,"Southeast",0.201
38,"North Dakota",2022,71970,863,8,"Mountain North",0.144
39,"Ohio",2022,65720,949,5,"Great Lakes",0.173
40,"Oklahoma",2022,59673,937,6,"South Central",0.188
41,"Oregon",2022,75657,1370,10,"Pacific Northwest",0.217
42,"Pennsylvania",2022,71798,1116,3,"Mid-Atlantic",0.187
44,"Rhode Island",2022,81854,1254,1,"New England",0.184
45,"South Carolina",2022,64115,1084,4,"Southeast",0.203
46,"South Dakota",2022,69728,866,8,"Mountain North",0.149
47,"Tennessee",2022,65254,1096,4,"Southeast",0.202
48,"Texas",2022,72284,1290,6,"South Central",0.214
49,"Utah",2022,89168,1372,8,"Mountain North",0.185
50,"Vermont",2022,73991,1141,1,"New England",0.185
51,"Virginia",2022,85873,1441,3,"Mid-Atlantic",0.201
53,"Washington",2022,91306,1630,10,"Pacific Northwest",0.214
54,"West Virginia",2022,54329,795,3,"Mid-Atlantic",0.176
55,"Wisconsin",2022,70996,992,5,"Great Lakes",0.168
56,"Wyoming",2022,70042,895,8,"Mountain North",0.153
72,"Puerto Rico",2022,24112,535,11,"Puerto Rico",0.266
1,"Alabama",2023,62212,982,4,"Southeast",0.189
2,"Alaska",2023,86631,1373,10,"Pacific Northwest",0.19
4,"Arizona",2023,77315,1608,9,"Pacific Southwest",0.25
5,"Arkansas",2023,58700,933,6,"South Central",0.191
6,"California",2023,95521,1992,9,"Pacific Southwest",0.25
8,"Colorado",2023,92911,1771,8,"Mountain North",0.229
9,"Connecticut",2023,91665,1463,1,"New England",0.192
10,"Delaware",2023,81361,1358,3,"Mid-Atlantic",0.2
11,"District of Columbia",2023,108210,1904,3,"Mid-Atlantic",0.211
12,"Florida",2023,73311,1719,4,"Southeast",0.281
13,"Georgia",2023,74632,1400,4,"Southeast",0.225
15,"Hawaii",2023,95322,1940,9,"Pacific Southwest",0.244
16,"Idaho",2023,74942,1256,10,"Pacific Northwest",0.201
17,"Illinois",2023,80306,1238,5,"Great Lakes",0.185
18,"Indiana",2023,69477,1044,5,"Great Lakes",0.18
19,"Iowa",2023,71433,949,7,"Central Plains",0.159
20,"Kansas",2023,70333,1036,7,"Central Plains",0.177
21,"Kentucky",2023,61118,929,4,"Southeast",0.182
22,"Louisiana",2023,58229,1020,6,"South Central",0.21
23,"Maine",2023,73733,1189,1,"New England",0.194
24,"Maryland",2023,98678,1651,3,"Mid-Atlantic",0.201
25,"Massachusetts",2023,99858,1757,1,"New England",0.211
26,"Michigan",2023,69183,1101,5,"Great Lakes",0.191
27,"Minnesota",2023,85086,1264,5,"Great Lakes",0.178
28,"Mississippi",2023,54203,898,4,"Southeast",0.199
29,"Missouri",2023,68545,1019,7,"Central Plains",0.178
30,"Montana",2023,70804,1083,8,"Mountain North",0.184
31,"Nebraska",2023,74590,1042,7,"Central Plains",0.168
32,"Nevada",2023,76364,1622,9,"Pacific Southwest",0.255
