"GEOID","NAME","year","med_incomeE","med_rentE","region_group","region_name","rent_to_income_ratio"
44,"Rhode Island",2006,51814,840,1,"New England",0.195
45,"South Carolina",2006,41100,640,4,"Southeast",0.187
46,"South Dakota",2006,42791,522,8,"Mountain North",0.146
47,"Tennessee",2006,40315,613,4,"Southeast",0.182
48,"Texas",2006,44922,711,6,"South Central",0.19
49,"Utah",2006,51309,697,8,"Mountain North",0.163
50,"Vermont",2006,47665,716,1,"New England",0.18
51,"Virginia",2006,56277,846,3,"Mid-Atlantic",0.18
53,"Washington",2006,52583,779,10,"Pacific Northwest",0.178
54,"West Virginia",2006,35059,499,3,"Mid-Atlantic",0.171
55,"Wisconsin",2006,48772,658,5,"Great Lakes",0.162
56,"Wyoming",2006,47423,601,8,"Mountain North",0.152
72,"Puerto Rico",2006,17621,395,11,"Puerto Rico",0.269
1,"Alabama",2007,40554,601,4,"Southeast",0.178
2,"Alaska",2007,64333,918,10,"Pacific Northwest",0.171
4,"Arizona",2007,49889,819,9,"Pacific Southwest",0.197
5,"Arkansas",2007,38134,573,6,"South Central",0.18
6,"California",2007,59948,1078,9,"Pacific Southwest",0.216
8,"Colorado",2007,55212,788,8,"Mountain North",0.171
9,"Connecticut",2007,65967,931,1,"New England",0.169
10,"Delaware",2007,54610,910,3,"Mid-Atlantic",0.2
11,"District of Columbia",2007,54317,934,3,"Mid-Atlantic",0.206
12,"Florida",2007,47804,925,4,"Southeast",0.232
13,"Georgia",2007,49136,768,4,"Southeast",0.188
18,"Indiana",2007,47448,638,5,"Great Lakes",0.161
15,"Hawaii",2007,63746,1194,9,"Pacific Southwest",0.225
16,"Idaho",2007,46253,654,10,"Pacific Northwest",0.17
17,"Illinois",2007,54124,783,5,"Great Lakes",0.174
19,"Iowa",2007,47292,567,7,"Central Plains",0.144
20,"Kansas",2007,47451,623,7,"Central Plains",0.158
21,"Kentucky",2007,40267,563,4,"Southeast",0.168
22,"Louisiana",2007,40926,651,6,"South Central",0.191
23,"Maine",2007,45888,650,1,"New England",0.17
24,"Maryland",2007,68080,1000,3,"Mid-Atlantic",0.176
25,"Massachusetts",2007,62365,946,1,"New England",0.182
